
05-20 22:09:35.486  Sending ACTION_BATTERY_CHANGED: level:86, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4160, temperature:305, online:1, charging_status:0, cycle_count:0, current_avg:-36, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3193710, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:56:10.931  Sending ACTION_BATTERY_CHANGED: level:94, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4345, temperature:327, online:1, charging_status:0, cycle_count:0, current_avg:796, ps:false, hvc:false, current_event:0x40000004, mcc:0, mcv:0, cc:3490110, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:56:41.083  Sending ACTION_BATTERY_CHANGED: level:94, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4266, temperature:324, online:1, charging_status:0, cycle_count:0, current_avg:-109, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3490110, present:true, scale:100, technology:Li-ion, protection:0
05-20 22:58:41.761  Sending ACTION_BATTERY_CHANGED: level:94, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4255, temperature:311, online:1, charging_status:0, cycle_count:0, current_avg:-119, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3486405, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:00:42.420  Sending ACTION_BATTERY_CHANGED: level:93, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4235, temperature:307, online:1, charging_status:0, cycle_count:0, current_avg:-266, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3482700, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:03:13.220  Sending ACTION_BATTERY_CHANGED: level:93, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4135, temperature:311, online:1, charging_status:0, cycle_count:0, current_avg:-511, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3467880, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:03:43.378  Sending ACTION_BATTERY_CHANGED: level:93, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4219, temperature:311, online:1, charging_status:0, cycle_count:0, current_avg:-305, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3464175, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:06:44.395  Sending ACTION_BATTERY_CHANGED: level:92, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4221, temperature:307, online:1, charging_status:0, cycle_count:0, current_avg:-210, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3445650, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:07:14.552  Sending ACTION_BATTERY_CHANGED: level:92, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4131, temperature:304, online:1, charging_status:0, cycle_count:0, current_avg:-189, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3441945, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:07:44.716  Sending ACTION_BATTERY_CHANGED: level:92, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4225, temperature:302, online:1, charging_status:0, cycle_count:0, current_avg:-164, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3441945, present:true, scale:100, technology:Li-ion, protection:0
05-20 23:15:17.147  Sending ACTION_BATTERY_CHANGED: level:91, status:3, health:2, remain:0, ac:false, usb:false, wireless:false, pogo:false, misc:0x10000, charge_type:0, charger_type:0, voltage:4207, temperature:294, online:1, charging_status:0, cycle_count:0, current_avg:-192, ps:false, hvc:false, current_event:0x40000000, mcc:0, mcv:0, cc:3408600, present:true, scale:100, technology:Li-ion, protection:0
